name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Ja'Marr Chase,CIN,WR,25.4,5856,7564,15281,10165,1,1,-38
Justin Jefferson,MIN,WR,26.1,7569,6794,14836,9859,2,2,8
Bijan Robinson,ATL,RB,23.5,9833,9509,16161,9682,3,1,111
Jahmyr Gibbs,DET,RB,23.3,9821,9221,16162,9314,4,2,-47
Saquon Barkley,PHI,RB,28.4,7257,4866,13604,9309,5,3,-204
CeeDee Lamb,DAL,WR,26.3,4835,6786,14832,8786,6,3,-31
Ashton Jeanty,LV,RB,21.6,12612,12527,17042,8480,7,4,150
Amon-Ra St. Brown,DET,WR,25.7,1527,7547,15287,8381,8,4,-79
Derrick Henry,BAL,RB,31.6,5421,3198,12626,8269,9,5,70
Christian McCaffrey,SF,RB,29.1,5494,4034,13130,8059,10,6,61
Malik Nabers,NYG,WR,22,11737,11632,16615,7923,11,5,84
Nico Collins,HOU,WR,26.3,5030,7569,15290,7723,12,6,-61
De'Von Achane,MIA,RB,23.8,9969,9226,16167,7616,13,7,798
Puka Nacua,LAR,WR,24.1,9822,9493,16211,7373,14,7,-589
Jonathan Taylor,IND,RB,26.5,3046,6813,14802,7081,15,8,-428
Josh Allen,BUF,QB,29.2,6170,4984,13589,6894,16,1,-25
Brian Thomas Jr.,JAX,WR,22.8,11726,11631,16618,6860,17,8,36
A.J. Brown,PHI,WR,28.1,4118,5859,14104,6717,18,9,102
Josh Jacobs,GB,RB,27.4,1326,5850,14073,6557,19,9,247
Brock Bowers,LV,TE,22.6,11702,11604,16641,6542,20,1,-119
Omarion Hampton,LAC,RB,22.4,12573,12507,17044,6401,21,10,221
Drake London,ATL,WR,24,998,8112,15751,6296,22,10,233
Lamar Jackson,BAL,QB,28.5,3101,4881,13593,6200,23,2,8
Bucky Irving,TB,RB,22.9,11779,11584,16598,5993,24,11,508
Trey McBride,ARI,TE,25.7,7325,8130,15794,5966,25,2,-68
Breece Hall,NYJ,RB,24.1,4576,8155,15708,5749,26,12,152
Chase Brown,CIN,RB,25.3,9967,9224,16181,5571,27,13,333
Kyren Williams,LAR,RB,24.9,7315,8150,15710,5499,28,14,-238
Ladd McConkey,LAC,WR,23.7,11766,11635,16627,5482,29,11,145
Jayden Daniels,WAS,QB,24.6,11701,11566,16581,5385,30,3,-2
James Cook,BUF,RB,25.8,182,8138,15715,5197,31,15,150
Garrett Wilson,NYJ,WR,25,6813,8146,15753,5031,32,12,-43
Joe Burrow,CIN,QB,28.6,1002,6770,14777,4818,33,4,111
Marvin Harrison Jr.,ARI,WR,22.9,11734,11628,16614,4767,34,13,-42
TreVeyon Henderson,NE,RB,22.7,12580,12529,17043,4715,35,16,-254
George Kittle,SF,TE,31.8,5709,4217,13299,4599,36,3,732
Tee Higgins,CIN,WR,26.5,5531,6801,14835,4512,37,14,-42
Alvin Kamara,NO,RB,30,4144,4035,13132,4498,38,17,5
Jaxon Smith-Njigba,SEA,WR,23.4,9924,9488,16185,4498,39,15,23
Tyreek Hill,MIA,WR,31.4,7958,3321,12801,4205,40,16,769
Kenneth Walker,SEA,RB,24.8,1749,8151,15711,4133,41,18,269
